,,,,,,,,,,Dynasty Market Report,,,,,,,,,,,,,
,Preseason
,Updated on:,09/05/2026 15:05:01


,,,,,Wide Receiver,,,,,Running Back,,,,,Tight End,,,,,Quarterback,,,
,Trade Value,Rookie Draft Picks,,,Player,,,,,Player,,,,,Player,,,,,Player,,,
,,2026,2027,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend
,,,,,Ja'Marr Chase,,,,,Bijan Robinson,,,,,Brock Bowers,,,,,Lamar Jackson,,,
,100.0,,,,WR1,CIN,26,+1.6,,RB1,ATL,24,,,TE1,LV,23,,,QB1,BAL,29,
,,,,,Justin Jefferson,,,,,Jahmyr Gibbs,,,,,Trey McBride,,,,,Josh Allen,,,
,95.9,,,,WR2,MIN,27,+0.0,,RB2,DET,24,,,TE2,ARI,26,+0.7,,QB2,BUF,30,
,,,,,CeeDee Lamb,,,,,Saquon Barkley,,,,,George Kittle,,,,,Jayden Daniels,,,
,91.8,,,,WR3,DAL,27,,,RB3,PHI,29,,,TE3,SF,32,,,QB3,WAS,25,
,,,,,Amon-Ra St. Brown,,,,,Christian McCaffrey,,,,,Sam LaPorta,,,,,Jalen Hurts,,,
,87.3,,,,WR4,DET,26,+1.9,,RB4,SF,30,,,TE4,DET,25,,,QB4,PHI,28,
,,,,,Puka Nacua,,,,,Ashton Jeanty,,,,,Mark Andrews,,,,,Joe Burrow,,,
,85.3,,,,WR5,LAR,25,,,RB5,LV,22,+2.3,,TE5,BAL,31,,,QB5,CIN,29,
,,,,,Malik Nabers,,,,,Derrick Henry,,,,,David Njoku,,,,,Patrick Mahomes,,,
,83.5,,,,WR6,NYG,23,+2.6,,RB6,BAL,32,,,TE6,CLE,30,,,QB6,KC,31,
,,,,,Nico Collins,,,,,De'Von Achane,,,,,T.J. Hockenson,,,,,Baker Mayfield,,,
,78.3,,,,WR7,HOU,27,,,RB7,MIA,24,,,TE7,MIN,29,,,QB7,TB,31,
,,,,,Brian Thomas Jr.,,,,,Bucky Irving,,,,,Travis Kelce,,,,,Brock Purdy,,,
,77.1,,,,WR8,JAX,23,,,RB8,TB,24,,,TE8,KC,37,,,QB8,SF,26,+0.4
,,,,,Drake London,,,,,Josh Jacobs,,,,,Colston Loveland,,,,,Bo Nix,,,
,66.6,,,,WR9,ATL,25,+2.9,,RB9,GB,28,,,TE9,CHI,22,,,QB9,DEN,26,
,,,,,A.J. Brown,,,,,Jonathan Taylor,,,,,Tyler Warren,,,,,Jared Goff,,,
,64.8,,,,WR10,PHI,29,,,RB10,IND,27,,,TE10,IND,24,,,QB10,DET,32,
,,,,,Ladd McConkey,,,,,Kyren Williams,,,,,Evan Engram,,,,,Justin Herbert,,,
,63.3,,,,WR11,LAC,24,,,RB11,LAR,26,,,TE11,DEN,32,,,QB11,LAC,28,
,,,,,Tee Higgins,,,,,Chase Brown,,,,,Jake Ferguson,,,,,Kyler Murray,,,
,55.5,,,,WR12,CIN,27,,,RB12,CIN,26,,,TE12,DAL,27,,,QB12,ARI,29,+2.6
,,,,,Garrett Wilson,,,,,Omarion Hampton,,,,,Tucker Kraft,,,,,Dak Prescott,,,
,47.6,,,,WR13,NYJ,26,,,RB13,LAC,23,,,TE13,GB,25,,,QB13,DAL,33,
,,,,,Jaxon Smith-Njigba,,,,,Breece Hall,,,,,Jonnu Smith,,,,,Drake Maye,,,
,46.4,,,,WR14,SEA,24,+2.5,,RB14,NYJ,25,,,TE14,PIT,31,+0.2,,QB14,NE,24,
,,,,,Tyreek Hill,,,,,James Cook,,,,,Kyle Pitts,,,,,Caleb Williams,,,
,44.3,,,,WR15,MIA,32,,,RB15,BUF,26,+2.4,,TE15,ATL,25,,,QB15,CHI,24,+0.9
,,,,,Davante Adams,,,,,Kenneth Walker III,,,,,Dallas Goedert,,,,,C.J. Stroud,,,
,41.3,,,,WR16,LAR,33,,,RB16,SEA,25,,,TE16,PHI,31,+1.8,,QB16,HOU,24,+2.2
,,,,,Mike Evans,,,,,Chuba Hubbard,,,,,Dalton Kincaid,,,,,Tua Tagovailoa,,,
,39.8,,,,WR17,TB,33,,,RB17,CAR,27,,,TE17,BUF,26,,,QB17,MIA,28,
,,,,,Marvin Harrison Jr.,,,,,Alvin Kamara,,,,,Pat Freiermuth,,,,,J.J. McCarthy,,,
,39.0,,,,WR18,ARI,24,,,RB18,NO,31,,,TE18,PIT,27,+1.8,,QB18,MIN,23,+0.6
,,,,,Terry McLaurin,,,,,TreVeyon Henderson,,,,,Mason Taylor,,,,,Jordan Love,,,
,38.5,,,,WR19,WAS,31,,,RB19,NE,23,,,TE19,NYJ,22,+0.1,,QB19,GB,27,
,,,,,Rashee Rice,,,,,RJ Harvey,,,,,Zach Ertz,,,,,Trevor Lawrence,,,
