,,,,,,,,,,Dynasty Market Report,,,,,,,,,,,,,
,Preseason
,Updated on:,09/05/2026 15:05:01


,,,,,Wide Receiver,,,,,Running Back,,,,,Tight End,,,,,Quarterback,,,
,Trade Value,Rookie Draft Picks,,,Player,,,,,Player,,,,,Player,,,,,Player,,,
,,2026,2027,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend,,POS RK,Team,Age,Trend
,,,,,Ja'Marr Chase,,,,,Bijan Robinson,,,,,Brock Bowers,,,,,Lamar Jackson,,,
,100.0,,,,WR1,CIN,26,,,RB1,ATL,24,,,TE1,LV,23,,,QB1,BAL,29,+1.0
,,,,,Justin Jefferson,,,,,Jahmyr Gibbs,,,,,Trey McBride,,,,,Josh Allen,,,
,99.0,,,,WR2,MIN,27,+0.2,,RB2,DET,24,,,TE2,ARI,26,+2.4,,QB2,BUF,30,+2.7
,,,,,CeeDee Lamb,,,,,Saquon Barkley,,,,,George Kittle,,,,,Jayden Daniels,,,
,98.5,,,,WR3,DAL,27,,,RB3,PHI,29,,,TE3,SF,32,,,QB3,WAS,25,
,,,,,Amon-Ra St. Brown,,,,,Christian McCaffrey,,,,,Sam LaPorta,,,,,Jalen Hurts,,,
,69.3,,,,WR4,DET,26,,,RB4,SF,30,+2.2,,TE4,DET,25,+0.9,,QB4,PHI,28,
,,,,,Puka Nacua,,,,,Ashton Jeanty,,,,,Mark Andrews,,,,,Joe Burrow,,,
,67.7,,,,WR5,LAR,25,,,RB5,LV,22,,,TE5,BAL,31,,,QB5,CIN,29,
,,,,,Malik Nabers,,,,,Derrick Henry,,,,,T.J. Hockenson,,,,,Patrick Mahomes,,,
,66.6,,,,WR6,NYG,23,,,RB6,BAL,32,+2.6,,TE6,MIN,29,,,QB6,KC,31,
,,,,,Nico Collins,,,,,De'Von Achane,,,,,David Njoku,,,,,Bo Nix,,,
,60.4,,,,WR7,HOU,27,,,RB7,MIA,24,+1.6,,TE7,CLE,30,,,QB7,DEN,26,+2.4
,,,,,Brian Thomas Jr.,,,,,Josh Jacobs,,,,,Travis Kelce,,,,,Baker Mayfield,,,
,60.1,,,,WR8,JAX,23,,,RB8,GB,28,,,TE8,KC,37,,,QB8,TB,31,+1.9
,,,,,Drake London,,,,,Bucky Irving,,,,,Colston Loveland,,,,,Jared Goff,,,
,51.3,,,,WR9,ATL,25,,,RB9,TB,24,+0.8,,TE9,CHI,22,+1.6,,QB9,DET,32,
,,,,,A.J. Brown,,,,,Jonathan Taylor,,,,,Tyler Warren,,,,,Brock Purdy,,,
,50.5,,,,WR10,PHI,29,,,RB10,IND,27,,,TE10,IND,24,+0.2,,QB10,SF,26,+0.4
,,,,,Ladd McConkey,,,,,Kyren Williams,,,,,Evan Engram,,,,,Justin Herbert,,,
,49.2,,,,WR11,LAC,24,+2.9,,RB11,LAR,26,,,TE11,DEN,32,+1.5,,QB11,LAC,28,
,,,,,Tee Higgins,,,,,Chase Brown,,,,,Jake Ferguson,,,,,Kyler Murray,,,
,42.7,,,,WR12,CIN,27,,,RB12,CIN,26,,,TE12,DAL,27,,,QB12,ARI,29,
,,,,,Jaxon Smith-Njigba,,,,,Omarion Hampton,,,,,Tucker Kraft,,,,,Dak Prescott,,,
,36.9,,,,WR13,SEA,24,,,RB13,LAC,23,+1.0,,TE13,GB,25,+1.7,,QB13,DAL,33,
,,,,,Garrett Wilson,,,,,Breece Hall,,,,,Jonnu Smith,,,,,Drake Maye,,,
,36.8,,,,WR14,NYJ,26,,,RB14,NYJ,25,+0.5,,TE14,PIT,31,,,QB14,NE,24,
,,,,,Tyreek Hill,,,,,James Cook,,,,,Kyle Pitts,,,,,Caleb Williams,,,
,32.8,,,,WR15,MIA,32,,,RB15,BUF,26,,,TE15,ATL,25,,,QB15,CHI,24,
,,,,,Davante Adams,,,,,Kenneth Walker III,,,,,Dallas Goedert,,,,,C.J. Stroud,,,
,30.5,,,,WR16,LAR,33,,,RB16,SEA,25,,,TE16,PHI,31,,,QB16,HOU,24,
,,,,,Mike Evans,,,,,Chuba Hubbard,,,,,Dalton Kincaid,,,,,Jordan Love,,,
,28.9,,,,WR17,TB,33,,,RB17,CAR,27,,,TE17,BUF,26,,,QB17,GB,27,+1.6
,,,,,Marvin Harrison Jr.,,,,,Alvin Kamara,,,,,Pat Freiermuth,,,,,Trevor Lawrence,,,
,28.9,,,,WR18,ARI,24,,,RB18,NO,31,+1.3,,TE18,PIT,27,,,QB18,JAX,26,
,,,,,Terry McLaurin,,,,,TreVeyon Henderson,,,,,Mason Taylor,,,,,J.J. McCarthy,,,
,28.8,,,,WR19,WAS,31,,,RB19,NE,23,,,TE19,NYJ,22,,,QB19,MIN,23,
